COMMON_WELL_NAME,DEPTH (M),BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),KLOGH (MD),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),LITHOTYPE
15/9-19 A,3801.618,0.095288,0.0,0.0,13.4032,0.11704800000000003,0.8,2.66,0.0211456,1.0,0.8396,115.8806,0.201019,OTHER
15/9-19 A,3801.7704,0.101646,0.0,0.0,11.4022,0.135947,0.8,2.66,0.0211451,1.0,0.771,115.8842,0.225621,OTHER
15/9-19 A,3801.9228,0.102997,0.0,0.0,5.7853,0.134951,0.8,2.66,0.0211445,1.0,0.7938,115.8877,0.257476,OTHER
15/9-19 A,3802.0752,0.103663,0.0,0.0,8.8673,0.134411,0.8,2.66,0.021144,1.0,0.7979,115.8912,0.236388,CLST.SLTY-X-X
15/9-19 A,3802.2276,0.104568,0.0,0.0,6.0429,0.137086,0.8,2.66,0.0211435,1.0,0.7926999999999998,115.8948,0.257272,OTHER
15/9-19 A,3802.38,0.104481,0.0,0.0,3.3818,0.137097,0.8,2.66,0.0211429,1.0,0.7976999999999999,115.8983,0.285291,OTHER
15/9-19 A,3802.5324,0.104885,0.0,0.0,10.2541,0.142452,0.8,2.66,0.0211424,1.0,0.7597,115.9018,0.236524,OTHER
15/9-19 A,3802.6848,0.099153,0.0,0.0,3.2531,0.121052,0.8,2.66,0.0211418,1.0,0.8601999999999999,115.9053,0.272903,OTHER
15/9-19 A,3802.8372,0.098248,0.0,0.0,1.7027,0.123645,0.8,2.66,0.0211413,1.0,0.8412,115.9089,0.306447,OTHER
15/9-19 A,3802.9896,0.097645,0.0,0.0,1.427,0.12686900000000004,0.8,2.66,0.0211407,1.0,0.8161,115.9124,0.317835,OTHER
15/9-19 A,3803.142,0.090412,0.0,0.0,0.5801,0.099035,0.8,2.66,0.0211402,0.0,0.9877,115.9159,0.336534,SST-CALC-ARG
15/9-19 A,3803.2944,0.091384,0.0,0.0,1.1735,0.105887,0.8,2.66,0.0211397,0.0,0.9223,115.9194,0.308621,OTHER
15/9-19 A,3803.4468,0.086138,0.0,0.0,0.4952,0.086635,0.8,2.66,0.0211391,0.0,1.0,115.923,0.333146,OTHER
15/9-19 A,3803.5992,0.090296,0.0,0.0,0.2209,0.10476700000000001,0.8,2.66,0.0211386,0.0,0.9437,115.9265,0.388223,OTHER
15/9-19 A,3803.7516,0.086914,0.0,0.0,0.0644,0.092549,0.8,2.66,0.021138,0.0,1.0,115.93,0.436919,OTHER
15/9-19 A,3803.904,0.087123,0.0,0.0,0.0283,0.09515100000000003,0.8,2.66,0.0211375,0.0,1.0,115.9336,0.478748,OTHER
15/9-19 A,3804.0564,0.084427,0.0,0.0,0.0143,0.08605799999999998,0.8,2.66,0.0211369,0.0,1.0,115.9371,0.503563,OTHER
15/9-19 A,3804.2088,0.084708,0.0,0.0,0.0095,0.088164,0.8,2.66,0.0211364,0.0,1.0,115.9406,0.525524,OTHER
15/9-19 A,3804.3612,0.014806,0.0,0.0,0.0037,0.014806,0.8,2.66,0.0211359,0.0,1.0,115.9442,0.505864,OTHER
15/9-19 A,3804.5136,0.057358,0.0,0.0,0.0065,0.057358,0.8,2.66,0.0211353,0.0,1.0,115.9477,0.515932,OTHER
15/9-19 A,3804.666,0.072521,0.0,0.0,0.0318,0.072521,0.8,2.66,0.0211348,0.0,1.0,115.9512,0.453029,OTHER
15/9-19 A,3804.8184,0.023313,0.0,0.0,0.0049,0.023313,0.8,2.66,0.0211342,0.0,1.0,115.9548,0.499883,OTHER
15/9-19 A,3804.9708,0.089702,0.0,0.0,0.0129,0.097555,0.8,2.66,0.0211337,0.0,1.0,115.9583,0.518825,OTHER
15/9-19 A,3805.1232,0.090262,0.0,0.0,0.0241,0.096243,0.8,2.66,0.0211331,0.0,1.0,115.9618,0.487553,CLST.SLTY-X-X
15/9-19 A,3805.2756,0.092567,0.0,0.0,0.0521,0.102663,0.8,2.66,0.0211326,0.0,1.0,115.96530000000003,0.456039,OTHER
15/9-19 A,3805.428,0.09635,0.0,0.0,0.1253,0.115541,0.8,2.66,0.0211321,0.0,0.9167,115.9689,0.425165,OTHER
15/9-19 A,3805.5804,0.097587,0.0,0.0,0.1204,0.117198,0.8,2.66,0.0211315,0.0,0.9152,115.9724,0.428544,OTHER
15/9-19 A,3805.7328,0.032593,0.0,0.0,0.0335,0.032593,0.8,2.66,0.021131,0.0,1.0,115.9759,0.415049,OTHER
15/9-19 A,3805.8852,0.10032,0.0,0.0,0.0621,0.127045,0.8,2.66,0.0211304,0.0,0.8725,115.9795,0.469272,OTHER
15/9-19 A,3806.0376,0.080294,0.0,0.0,0.0305,0.080294,0.8,2.66,0.0211299,0.0,1.0,115.983,0.462058,OTHER
15/9-19 A,3806.19,0.07368099999999998,0.0,0.0,0.0142,0.07368099999999998,0.8,2.66,0.0211293,0.0,1.0,115.9865,0.492951,CLST.SLTY-X-X
15/9-19 A,3806.3424,0.09291,0.0,0.0,0.0955,0.108465,0.8,2.66,0.0211288,0.0,0.9479,115.9901,0.431981,OTHER
15/9-19 A,3806.4948,0.036843,0.0,0.0,0.0571,0.036843,0.8,2.66,0.0211283,0.0,1.0,115.9936,0.393107,OTHER
15/9-19 A,3806.6472,0.0,0.0,0.0,0.2026,0.0,0.8,2.66,0.0211277,0.0,1.0,115.9971,0.299252,OTHER
15/9-19 A,3806.7996,0.063145,0.0,0.0,0.7676,0.063145,0.8,2.66,0.0211272,0.0,1.0,116.0007,0.291117,OTHER
15/9-19 A,3806.952,0.005605,0.0,0.0,0.4218,0.005605,0.8,2.66,0.0211266,0.0,1.0,116.0042,0.268854,OTHER
15/9-19 A,3807.1044,0.03965,0.0,0.0,0.9854,0.03965,0.8,2.66,0.0211261,0.0,1.0,116.00770000000003,0.258175,CLST.SLTY-X-X
15/9-19 A,3807.2568,0.034965,0.0,0.0,0.8470999999999999,0.034965,0.8,2.66,0.0211255,0.0,1.0,116.0113,0.261311,OTHER
15/9-19 A,3807.4092,0.006028,0.0,0.0,1.0137,0.006028,0.8,2.66,0.021125,0.0,1.0,116.0148,0.226922,OTHER
15/9-19 A,3807.5616,0.0,0.0,0.0,2.5941,0.0,0.8,2.66,0.0211245,0.0,1.0,116.0183,0.176223,OTHER
15/9-19 A,3807.714,0.0,0.0,0.0,3.1367,0.0,0.8,2.66,0.0211239,0.0,1.0,116.0219,0.167058,OTHER
15/9-19 A,3807.8664,0.018682,0.0,0.0,2.5907,0.018682,0.8,2.66,0.0211234,0.0,1.0,116.0254,0.192893,OTHER
15/9-19 A,3808.0188,0.070763,0.0,0.0,7.5835,0.070763,0.8,2.66,0.0211228,0.0,1.0,116.029,0.187359,OTHER
15/9-19 A,3808.1712,0.089643,0.0,0.0,1.873,0.100421,0.8,2.66,0.0211223,1.0,0.9491,116.0325,0.281204,OTHER
15/9-19 A,3808.3236,0.099001,0.0,0.0,2.471,0.109642,0.8,2.66,0.0211217,1.0,0.9541,116.036,0.276029,OTHER
15/9-19 A,3808.476,0.101109,0.0,0.0,1.3066,0.101109,0.8,2.66,0.0211212,1.0,1.0,116.0396,0.299194,OTHER
15/9-19 A,3808.6284,0.07644099999999998,0.0,0.0,0.7969,0.07644099999999998,0.8,2.66,0.0211207,0.0,1.0,116.0431,0.301126,OTHER
15/9-19 A,3808.7808,0.059743,0.0,0.0,0.3318,0.059743,0.8,2.66,0.0211201,0.0,1.0,116.0466,0.328563,OTHER
15/9-19 A,3808.9332,0.0,0.0,0.0,0.4204,0.0,0.8,2.66,0.0211196,0.0,1.0,116.0502,0.264039,OTHER
15/9-19 A,3809.0856,0.0,0.0,0.0,1.7243,0.0,0.8,2.66,0.021119,0.0,1.0,116.0537,0.195932,CLST.SLTY-X-X
15/9-19 A,3809.238,0.0,0.0,0.0,1.0302,0.0,0.8,2.66,0.0211185,0.0,1.0,116.0573,0.220786,OTHER
15/9-19 A,3809.3904,0.0,0.0,0.0,1.6253,0.0,0.8,2.66,0.0211179,0.0,1.0,116.0608,0.198786,OTHER
15/9-19 A,3809.5428,0.0,0.0,0.0,6.7581,0.0,0.8,2.66,0.0211174,0.0,1.0,116.0643,0.130019,OTHER
15/9-19 A,3809.6952,0.105618,0.0,0.0,50.465,0.134671,0.8,2.66,0.0211169,0.0,0.7941,116.0679,0.152709,OTHER
15/9-19 A,3809.8476,0.058369,0.0,0.0,19.3795,0.058369,0.8,2.66,0.0211163,0.0,1.0,116.0714,0.131068,OTHER
15/9-19 A,3810.0,0.10808400000000001,0.0,0.0,27.5528,0.128217,0.8,2.66,0.0211158,1.0,0.8604,116.07490000000003,0.176175,OTHER
15/9-19 A,3810.1524,0.110869,0.0,0.0,19.3789,0.137063,0.8,2.66,0.0211152,1.0,0.8286,116.0785,0.201019,OTHER
15/9-19 A,3810.3048,0.111271,0.0,0.0,7.6451,0.136561,0.8,2.66,0.0211147,1.0,0.8443,116.082,0.245456,OTHER
15/9-19 A,3810.4572,0.113978,0.0,0.0,9.183700000000002,0.146199,0.8,2.66,0.0211141,1.0,0.8051,116.08560000000003,0.245175,OTHER
15/9-19 A,3810.6096,0.112621,0.0,0.0,4.0885,0.13499100000000003,0.8,2.66,0.0211136,1.0,0.8715,116.0891,0.274262,OTHER
15/9-19 A,3810.762,0.108314,0.0,0.0,2.8353,0.111919,0.8,2.66,0.021113,1.0,1.0,116.0926,0.271417,OTHER
15/9-19 A,3810.9144,0.113583,0.0,0.0,7.7092,0.128965,0.8,2.66,0.0211125,1.0,0.9135,116.0962,0.238301,OTHER
15/9-19 A,3811.0668,0.009612,0.0,0.0,0.5392,0.009612,0.8,2.66,0.021112,0.0,1.0,116.0997,0.260573,OTHER
15/9-19 A,3811.2192,0.019315,0.0,0.0,0.9676,0.019315,0.8,2.66,0.0211114,0.0,1.0,116.1033,0.240981,CLST.SLTY-X-X
15/9-19 A,3811.3716,0.109443,0.0,0.0,7.1629,0.111464,0.8,2.66,0.0211109,1.0,1.0,116.1068,0.226291,OTHER
15/9-19 A,3811.524,0.114751,0.0,0.0,5.1731,0.13164200000000004,0.8,2.66,0.0211103,1.0,0.9083000000000002,116.1103,0.259932,OTHER
15/9-19 A,3811.6764,0.11386,0.0,0.0,2.8539,0.125294,0.8,2.66,0.0211098,1.0,0.9552,116.1139,0.28299,OTHER
15/9-19 A,3811.8288,0.123574,0.0,0.0,3.6468,0.158471,0.8,2.66,0.0211092,1.0,0.8127999999999999,116.1174,0.30065,OTHER
15/9-19 A,3811.9812,0.124965,0.0,0.0,2.3869,0.147892,0.8,2.66,0.0211087,1.0,0.8866,116.121,0.311699,OTHER
15/9-19 A,3812.1336,0.103401,0.0,0.0,3.7776,0.103401,0.8,2.66,0.0211082,1.0,1.0,116.1245,0.25,OTHER
15/9-19 A,3812.286,0.117149,0.0,0.0,5.0043,0.117149,0.8,2.66,0.0211076,1.0,1.0,116.1281,0.24865,OTHER
